설(상)치 장소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
경상북도 구미시 산동면 신당리 1478 ,경상북도 구미시 산동면 신당리 1478 ,128.43316,36.157811,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1478,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1478(나대지) ,경상북도 구미시 산동면 신당리 1478(나대지) ,128.43316,36.157811,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1478,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1696,경상북도 구미시 산동면 신당리 1696,128.4348462,36.159265,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1696,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1696 ,경상북도 구미시 산동면 신당리 1696 ,128.4348462,36.159265,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1696,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1697 (202동앞도로변나대지),경상북도 구미시 산동면 신당리 1697 (202동앞도로변나대지),128.4350505,36.1560016,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1697,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1697 (202동앞도로변나대지) ,경상북도 구미시 산동면 신당리 1697 (202동앞도로변나대지) ,128.4350505,36.1560016,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1697,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1697 (골드디움옆나대지),경상북도 구미시 산동면 신당리 1697 (골드디움옆나대지),128.4350505,36.1560016,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1697,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1697 (나대지),경상북도 구미시 산동면 신당리 1697 (나대지),128.4350505,36.1560016,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1697,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1796,경상북도 구미시 산동면 신당리 1796,128.429859,36.1577959,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1796,39460,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1796 ,경상북도 구미시 산동면 신당리 1796 ,128.429859,36.1577959,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1796,39460,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1796(나대지) ,경상북도 구미시 산동면 신당리 1796(나대지) ,128.429859,36.1577959,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1796,39460,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1799 (나대지),경상북도 구미시 산동면 신당리 1799 (나대지),128.4298305,36.1607071,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1799,39460,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1799 (나대지) ,경상북도 구미시 산동면 신당리 1799 (나대지) ,128.4298305,36.1607071,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1799,39460,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1903,경상북도 구미시 산동면 신당리 1903,128.4279506,36.1563336,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 1903,39460,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 319-1(나대지),경상북도 구미시 산동면 신당리 319-1(나대지),128.4324873,36.1628246,인근좌표,47190,구주소,,경상북도 구미시 산동읍 신당리 319-1,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 411(구미확장단지골드리움) ,경상북도 구미시 산동면 신당리 411(구미확장단지골드리움) ,128.4324873,36.1628246,인근좌표,47190,구주소,,경상북도 구미시 산동읍 신당리 411,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 산81-1 (나대지) ,경상북도 구미시 산동면 신당리 산81-1 (나대지) ,128.425472,36.1562884,정좌표,4.72E+18,구주소,,경상북도 구미시 산동읍 신당리 산81-1,NULL,4719025600,산동읍,4719025625,산동읍 신당리
